person1Id|person2Id|startDate|endDate
6597069768211|13194139534730|1288540800000|1291132800000
28587302322471|10995116279125|1288540800000|1291132800000
30786325578109|4398046511246|1288540800000|1291132800000
32985348834570|296|1288540800000|1291132800000
2199023257240|19791209300793|1288540800000|1291132800000
2199023256077|15393162788989|1288540800000|1291132800000
28587302322250|15393162789514|1288540800000|1291132800000
19791209299986|30786325577812|1288540800000|1291132800000
4398046512441|19791209301132|1288540800000|1291132800000
19791209301592|24189255811906|1288540800000|1291132800000
2199023256351|19791209300830|1291132800000|1293811200000
30786325578724|296|1291132800000|1293811200000
32985348833865|28587302322676|1291132800000|1293811200000
13194139533792|17592186045891|1291132800000|1293811200000
17592186044862|10995116279270|1291132800000|1293811200000
28587302323385|1355|1291132800000|1293811200000
32985348834004|26388279066958|1291132800000|1293811200000
10995116279227|8796093023094|1291132800000|1293811200000
17592186045370|10995116278652|1291132800000|1293811200000
19791209300507|30786325577992|1291132800000|1293811200000
26388279067532|26388279068034|1293811200000|1296489600000
17592186044864|28587302322814|1293811200000|1296489600000
8796093022297|17592186045089|1293811200000|1296489600000
6597069767851|19791209301239|1293811200000|1296489600000
15393162789112|17592186044824|1293811200000|1296489600000
4398046512303|6597069768275|1293811200000|1296489600000
32985348833686|21990232556536|1293811200000|1296489600000
26388279067551|21990232555771|1293811200000|1296489600000
32985348834575|32985348833686|1293811200000|1296489600000
17592186045865|4398046511367|1293811200000|1296489600000
32985348833314|17592186045085|1296489600000|1298908800000
21990232555987|2199023255747|1296489600000|1298908800000
2199023255817|26388279067625|1296489600000|1298908800000
378|26388279066654|1296489600000|1298908800000
24189255812105|13194139534234|1296489600000|1298908800000
19791209301286|19791209300874|1296489600000|1298908800000
32985348834066|24189255811643|1296489600000|1298908800000
4398046512267|13194139533366|1296489600000|1298908800000
10995116278210|17592186044824|1296489600000|1298908800000
19791209300572|17592186044459|1296489600000|1298908800000
19791209300372|13194139534430|1298908800000|1301587200000
26388279066936|21990232555934|1298908800000|1301587200000
10995116278292|4398046512662|1298908800000|1301587200000
6597069767464|2199023255725|1298908800000|1301587200000
30786325578057|15393162789076|1298908800000|1301587200000
4398046512267|19791209301543|1298908800000|1301587200000
8796093022909|8796093022946|1298908800000|1301587200000
10995116279349|24189255812006|1298908800000|1301587200000
13194139534803|28587302323268|1298908800000|1301587200000
6597069766870|28587302323673|1298908800000|1301587200000
10995116278966|21990232556771|1301587200000|1304179200000
24189255812657|28587302323858|1301587200000|1304179200000
26388279067159|15393162790168|1301587200000|1304179200000
17592186045945|26388279067849|1301587200000|1304179200000
15393162789575|26388279067627|1301587200000|1304179200000
8796093022634|32985348833653|1301587200000|1304179200000
30786325578568|772|1301587200000|1304179200000
4398046512759|32985348833438|1301587200000|1304179200000
21990232556900|13194139533927|1301587200000|1304179200000
10995116278268|10995116279437|1301587200000|1304179200000
30786325578060|21990232556344|1304179200000|1306857600000
24189255811746|32985348834776|1304179200000|1306857600000
32985348834794|6597069768078|1304179200000|1306857600000
30786325578788|10995116278113|1304179200000|1306857600000
4398046512527|32985348834036|1304179200000|1306857600000
15393162789349|28587302322865|1304179200000|1306857600000
2199023257187|26388279067897|1304179200000|1306857600000
28587302323385|30786325578670|1304179200000|1306857600000
21990232556771|21990232556381|1304179200000|1306857600000
26388279066830|30786325578320|1304179200000|1306857600000
21990232555850|4398046511757|1306857600000|1309449600000
26388279067560|28587302322718|1306857600000|1309449600000
26388279067571|15393162790510|1306857600000|1309449600000
19791209301546|8796093023060|1306857600000|1309449600000
17592186045803|19791209300151|1306857600000|1309449600000
21990232556897|24189255811227|1306857600000|1309449600000
28587302323296|28587302323054|1306857600000|1309449600000
6597069766938|13194139534569|1306857600000|1309449600000
26388279067498|28587302323591|1306857600000|1309449600000
17592186045512|26388279066717|1306857600000|1309449600000
24189255811171|32985348834174|1312128000000|1314806400000
13194139534270|26388279067897|1312128000000|1314806400000
4398046512532|13194139534853|1312128000000|1314806400000
24189255811500|28587302322753|1312128000000|1314806400000
26388279067868|6597069767341|1312128000000|1314806400000
2199023256219|26388279067760|1312128000000|1314806400000
1276|26388279067527|1312128000000|1314806400000
2199023256154|15393162790395|1312128000000|1314806400000
10995116278973|13194139533792|1312128000000|1314806400000
772|30786325578455|1312128000000|1314806400000
19791209300775|32985348833890|1314806400000|1317398400000
30786325578737|19791209300324|1314806400000|1317398400000
19791209300562|32985348834824|1314806400000|1317398400000
32985348834171|8796093022467|1314806400000|1317398400000
4398046512578|10995116278496|1314806400000|1317398400000
21990232556847|30786325578057|1314806400000|1317398400000
30786325578935|26388279067581|1314806400000|1317398400000
19791209301577|26388279067066|1314806400000|1317398400000
30786325578056|13194139534382|1314806400000|1317398400000
17592186045551|8796093023522|1314806400000|1317398400000
13194139534803|19791209300372|1349020800000|1351699200000
2199023256472|2199023256689|1349020800000|1351699200000
709|17592186046016|1349020800000|1351699200000
17592186045334|2199023255936|1349020800000|1351699200000
10995116278238|28587302322817|1349020800000|1351699200000
15393162790289|13194139533909|1349020800000|1351699200000
10995116278700|6597069767635|1349020800000|1351699200000
13194139534270|24189255812226|1349020800000|1351699200000
13194139534578|24189255811573|1349020800000|1351699200000
6597069767457|6597069768070|1349020800000|1351699200000
